city,household,level,population,area,income,difference,takehome,fifty,thirty,twenty,housing,health,grocery,transit,childcare,cityimg,hhimg,inc0,inc1,inc2,inc3,inc4,inc5,inc6,inc7,inc8,inc9,decile
"Baltimore, MD",2 adults 2 children,Average,622793,92.98,69402,45552,4577,2289,1373,915,1252,628,875,138,1157,baltimore-01.svg,family-01.svg,13.4,7.6,11.7,10.9,13.2,17,9.9,9.5,3.6,3.2,5
"Baltimore, MD",1 adult,Average,622793,92.98,34701,23031,2173,1087,652,435,847,206,294,68,0,baltimore-01.svg,single-01.svg,13.4,7.6,11.7,10.9,13.2,17,9.9,9.5,3.6,3.2,3
"Boston, MA",2 adults 2 children,Average,656051,89.63,81186,57336,5100,2550,1530,1020,1454,883,803,150,1339,boston-01.svg,family-01.svg,12.2,7.3,9.7,7.4,10.2,14.8,10.6,13.7,6.4,7.7,6
"Boston, MA",1 adult,Average,656051,89.63,40593,28923,2518,1259,756,504,1042,292,270,75,0,boston-01.svg,single-01.svg,12.2,7.3,9.7,7.4,10.2,14.8,10.6,13.7,6.4,7.7,4
"Chicago, IL",2 adults 2 children,Average,2700000,234,63770,39920,4026,2013,1208,805,979,702,853,200,1294,chicago-01.svg,family-01.svg,11.2,5.9,11.6,10.1,12.6,16.1,10.7,11.3,4.8,5.5,5
"Chicago, IL",1 adult,Average,2700000,234,31885,20215,1988,994,597,398,727,221,286,100,0,chicago-01.svg,single-01.svg,11.2,5.9,11.6,10.1,12.6,16.1,10.7,11.3,4.8,5.5,3
"Cleveland, OH",2 adults 2 children,Average,389524,82.47,57570,33720,3747,1874,1124,749,750,797,817,170,895,cleveland-01.svg,family-01.svg,20.3,10.6,17.4,12.6,13.4,12.8,6.1,4.7,1.1,1.1,5
"Cleveland, OH",1 adult,Average,389524,82.47,28785,17115,1867,934,560,373,493,253,274,85,0,cleveland-01.svg,single-01.svg,20.3,10.6,17.4,12.6,13.4,12.8,6.1,4.7,1.1,1.1,3
"Detroit, MI",2 adults 2 children,Average,680281,142.9,57054,33204,3657,1828,1097,731,843,737,681,99,1029,detroit-01.svg,family-01.svg,21.4,10.2,16.9,12.5,13.5,13.1,6,4.5,1.2,0.7,5
"Detroit, MI",1 adult,Average,680281,142.9,28527,16857,1804,902,541,361,508,233,229,50,0,detroit-01.svg,single-01.svg,21.4,10.2,16.9,12.5,13.5,13.1,6,4.5,1.2,0.7,3
"Memphis, TN",2 adults 2 children,Average,656876,324,49674,25824,3383,1692,1015,677,780,618,695,100,593,memphis-01.svg,family-01.svg,12.6,7.6,14.8,12.8,14.8,16.3,8.6,7.4,2.6,2.6,4
"Memphis, TN",1 adult,Average,656876,324,24837,13167,1667,833,500,333,576,203,233,50,0,memphis-01.svg,single-01.svg,12.6,7.6,14.8,12.8,14.8,16.3,8.6,7.4,2.6,2.6,2
"Oakland, CA",2 adults 2 children,Average,413782,78,87848,63998,5392,2696,1618,1078,1578,967,968,150,901,oakland-01.svg,family-01.svg,7.7,7.7,11.1,9.1,11.8,16,10.4,12.7,6,7.5,6
"Oakland, CA",1 adult,Average,413782,78,43924,32254,2691,1346,807,538,1035,321,325,75,0,oakland-01.svg,single-01.svg,7.7,7.7,11.1,9.1,11.8,16,10.4,12.7,6,7.5,4
"Philadelphia, PA",2 adults 2 children,Average,1600000,141.7,66392,42542,4287,2144,1286,857,1135,897,867,182,1219,philadelphia-01.svg,family-01.svg,14.6,8.1,13.2,11.6,13.7,15.7,9.1,8.5,2.9,2.6,5
"Philadelphia, PA",1 adult,Average,1600000,141.7,33196,21526,2119,1059,636,424,799,303,291,91,0,philadelphia-01.svg,single-01.svg,14.6,8.1,13.2,11.6,13.7,15.7,9.1,8.5,2.9,2.6,3
"Portland, OR",2 adults 2 children,Average,619445,145,62310,38460,3846,1923,1154,769,922,684,867,200,1064,portland-01.svg,family-01.svg,8.6,5.7,9.8,10.1,13.3,17.1,12.2,13.3,4.7,5.3,5
"Portland, OR",1 adult,Average,619445,145,31155,19485,1886,943,566,377,666,226,291,100,0,portland-01.svg,single-01.svg,8.6,5.7,9.8,10.1,13.3,17.1,12.2,13.3,4.7,5.3,3
"St. Louis, MO",2 adults 2 children,Average,317419,65.98,60586,36736,3899,1949,1170,780,814,871,788,156,815,stlouis-01.svg,family-01.svg,16,8.4,13.6,12.2,14,15,8.8,7.5,2.4,2.1,5
"St. Louis, MO",1 adult,Average,317419,65.98,30293,18623,1936,968,581,387,532,278,265,78,0,stlouis-01.svg,single-01.svg,16,8.4,13.6,12.2,14,15,8.8,7.5,2.4,2.1,3
"Washington, DC",2 adults 2 children,Average,658893,68.34,86742,62892,5221,2611,1566,1044,1469,747,831,474,2597,dc-01.svg,family-01.svg,10.3,4.3,7.6,6.7,9.8,14.3,11,15.1,8.1,12.8,6
"Washington, DC",1 adult,Average,658893,68.34,43371,31701,2619,1310,786,524,1176,227,279,237,0,dc-01.svg,single-01.svg,10.3,4.3,7.6,6.7,9.8,14.3,11,15.1,8.1,12.8,4
