city,household,federal poverty level,level,population,income,difference,takehome,fifty,thirty,twenty,housing,health,grocery,transit,childcare,car,cityimg,hhimg,inc0,inc1,inc2,inc3,inc4,inc5,inc6,inc7,inc8,inc9,decile
"Albuquerque, NM",married couple 2 children,23850,median,553576,50899,27049,3326,1663,998,665,802,650,782,60,871,620,albuquerque-01.svg,family-01.svg,,,,,,,,,,,
"Albuquerque, NM",single man,11670,median,553576,29856,18186,1902,951,571,380,521,215,271,30,0,482,albuquerque-01.svg,family-01.svg,,,,,,,,,,,
"Albuquerque, NM",single woman,11670,median,553576,25180,13510,1619,810,486,324,521,215,271,30,0,482,albuquerque-01.svg,family-01.svg,,,,,,,,,,,
"Albuquerque, NM",married couple,15730,median,553576,80872,65142,5135,2568,1541,1027,655,429,496,60,0,614,albuquerque-01.svg,family-01.svg,,,,,,,,,,,
"Albuquerque, NM","single mother, 1 child",15730,median,553576,28381,12651,1813,906,544,363,802,325,399,30,584,487,albuquerque-01.svg,family-01.svg,,,,,,,,,,,
"Atlanta, GA",married couple 2 children,23850,median,440641,48504,24654,3102,1551,930,620,896,826,782,190,811,583,baltimore-01.svg,family-01.svg,,,,,,,,,,,
"Atlanta, GA",single man,11670,median,440641,37222,25552,2308,1154,692,462,693,272,271,95,0,450,atlanta-01.svg,family-01.svg,,,,,,,,,,,
"Atlanta, GA",single woman,11670,median,440641,33104,21434,2063,1031,619,413,693,272,271,95,0,450,atlanta-01.svg,family-01.svg,,,,,,,,,,,
"Atlanta, GA",married couple,15730,median,440641,111719,95989,6610,3305,1983,1322,756,545,496,190,0,577,atlanta-01.svg,family-01.svg,,,,,,,,,,,
"Atlanta, GA","single mother, 1 child",15730,median,440641,26198,10468,1652,826,496,330,896,413,399,95,506,454,atlanta-01.svg,family-01.svg,,,,,,,,,,,
"Baltimore, MD",married couple 2 children,23850,median,622271,38305,14455,2510,1255,753,502,1252,628,782,138,1157,608,baltimore-01.svg,family-01.svg,,,,,,,,,,,
"Baltimore, MD",single man,11670,median,622271,32000,20330,2011,1006,603,402,847,206,271,68,0,475,baltimore-01.svg,family-01.svg,,,,,,,,,,,
