city,household,level,population,area,income,difference,takehome,fifty,thirty,twenty,housing,health,grocery,transit,childcare,cityimg,hhimg
"Albuquerque, NM",married couple 2 children,median,553576,1,50899,27049,3326,1663,998,665,802,650,782,60,871,albuquerque-01.svg,family-01.svg
"Albuquerque, NM",single man,median,553576,1,29856,18186,1902,951,571,380,521,215,271,30,0,albuquerque-01.svg,single-01.svg
"Albuquerque, NM",single woman,median,553576,1,25180,13510,1619,810,486,324,521,215,271,30,0,albuquerque-01.svg,woman-01.svg
"Albuquerque, NM",married couple,median,553576,1,80872,65142,5135,2568,1541,1027,655,429,496,60,0,albuquerque-01.svg,couple-01.svg
"Albuquerque, NM","single mother, 1 child",median,553576,1,28381,12651,1813,906,544,363,802,325,399,30,584,albuquerque-01.svg,mother-01.svg
"Atlanta, GA",married couple 2 children,median,440641,1,48504,24654,3102,1551,930,620,896,826,782,190,811,baltimore-01.svg,family-01.svg
"Atlanta, GA",single man,median,440641,1,37222,25552,2308,1154,692,462,693,272,271,95,0,atlanta-01.svg,single-01.svg
"Atlanta, GA",single woman,median,440641,1,33104,21434,2063,1031,619,413,693,272,271,95,0,atlanta-01.svg,woman-01.svg
"Atlanta, GA",married couple,median,440641,1,111719,95989,6610,3305,1983,1322,756,545,496,190,0,atlanta-01.svg,couple-01.svg
"Atlanta, GA","single mother, 1 child",median,440641,1,26198,10468,1652,826,496,330,896,413,399,95,506,atlanta-01.svg,mother-01.svg
"Baltimore, MD",married couple 2 children,median,622271,1,38305,14455,2510,1255,753,502,1252,628,782,138,1157,baltimore-01.svg,family-01.svg
"Baltimore, MD",single man,median,622271,1,32000,20330,2011,1006,603,402,847,206,271,68,0,baltimore-01.svg,single-01.svg
"Baltimore, MD",single woman,median,622271,1,22985,11315,1466,733,440,293,847,206,271,68,0,baltimore-01.svg,woman-01.svg
"Baltimore, MD",married couple,median,622271,1,76955,61225,4848,2424,1454,970,1001,412,496,138,0,baltimore-01.svg,couple-01.svg
"Baltimore, MD","single mother, 1 child",median,622271,1,32517,16787,2042,1021,613,408,1252,314,399,68,808,baltimore-01.svg,mother-01.svg
"Bismarck, ND",married couple 2 children,median,65123,1,62841,38991,4187,2094,1256,837,704,922,782,60,985,bismarck-01.svg,family-01.svg
"Bismarck, ND",single man,median,65123,1,32118,20448,2111,1056,633,422,497,294,271,30,0,bismarck-01.svg,single-01.svg
"Bismarck, ND",single woman,median,65123,1,28877,17207,1906,953,572,381,497,294,271,30,0,bismarck-01.svg,woman-01.svg
"Bismarck, ND",married couple,median,65123,1,83024,67294,5460,2730,1638,1092,563,589,496,60,0,bismarck-01.svg,couple-01.svg
"Bismarck, ND","single mother, 1 child",median,65123,1,37769,22039,2471,1235,741,494,704,461,399,30,608,bismarck-01.svg,mother-01.svg
"Boise, ID",married couple 2 children,median,211655,1,72104,48254,4482,2241,1345,896,719,729,782,72,887,boise-01.svg,family-01.svg
"Boise, ID",single man,median,211655,1,28891,17221,1786,893,536,357,428,241,271,36,0,boise-01.svg,single-01.svg
"Boise, ID",single woman,median,211655,1,27083,15413,1681,840,504,336,428,241,271,36,0,boise-01.svg,woman-01.svg
"Boise, ID",married couple,median,211655,1,82694,66964,5100,2550,1530,1020,572,482,496,72,0,boise-01.svg,couple-01.svg
"Boise, ID","single mother, 1 child",median,211655,1,42212,26482,2543,1271,763,509,719,364,399,36,543,boise-01.svg,mother-01.svg
"Boston, MA",married couple 2 children,median,639594,1,43300,19450,2814,1407,844,563,1454,883,782,150,1339,boston-01.svg,family-01.svg
"Boston, MA",single man,median,639594,1,35726,24056,2239,1119,672,448,1042,292,271,75,0,boston-01.svg,single-01.svg
"Boston, MA",single woman,median,639594,1,31195,19525,1965,982,589,393,1042,292,271,75,0,boston-01.svg,woman-01.svg
"Boston, MA",married couple,median,639594,1,100584,84854,6137,3069,1841,1227,1164,584,496,150,0,boston-01.svg,couple-01.svg
"Boston, MA","single mother, 1 child",median,639594,1,31803,16073,2001,1001,600,400,1454,442,399,75,1048,boston-01.svg,mother-01.svg
"Chicago, IL",married couple 2 children,median,2712608,1,62153,38303,3996,1998,1199,799,979,702,782,200,1294,chicago-01.svg,family-01.svg
"Chicago, IL",single man,median,2712608,1,35637,23967,2253,1126,676,451,727,221,271,100,0,chicago-01.svg,single-01.svg
"Chicago, IL",single woman,median,2712608,1,28478,16808,1814,907,544,363,727,221,271,100,0,chicago-01.svg,woman-01.svg
"Chicago, IL",married couple,median,2712608,1,78062,62332,4972,2486,1492,994,826,442,496,200,0,chicago-01.svg,couple-01.svg
"Chicago, IL","single mother, 1 child",median,2712608,1,30249,14519,1922,961,577,384,979,351,399,100,791,chicago-01.svg,mother-01.svg
"Cleveland, OH",married couple 2 children,median,392114,1,20872,-2978,1473,736,442,295,750,797,782,170,895,cleveland-01.svg,family-01.svg
"Cleveland, OH",single man,median,392114,1,18624,6954,1242,621,373,248,493,253,271,85,0,cleveland-01.svg,single-01.svg
"Cleveland, OH",single woman,median,392114,1,15909,4239,1074,537,322,215,493,253,271,85,0,cleveland-01.svg,woman-01.svg
"Cleveland, OH",married couple,median,392114,1,53244,37514,3486,1743,1046,697,592,506,496,170,0,cleveland-01.svg,couple-01.svg
"Cleveland, OH","single mother, 1 child",median,392114,1,18732,3002,1249,624,375,250,750,399,399,85,552,cleveland-01.svg,mother-01.svg
"Denver, CO",married couple 2 children,median,600158,1,60937,37087,3910,1955,1173,782,960,758,782,198,1259,denver-01.svg,family-01.svg
"Denver, CO",single man,median,600158,1,35635,23965,2235,1118,671,447,600,251,271,99,0,denver-01.svg,single-01.svg
"Denver, CO",single woman,median,600158,1,34915,23245,2192,1096,658,438,600,251,271,99,0,denver-01.svg,woman-01.svg
"Denver, CO",married couple,median,600158,1,86481,70751,5434,2717,1630,1087,742,502,496,198,0,denver-01.svg,couple-01.svg
"Denver, CO","single mother, 1 child",median,600158,1,37994,22264,2378,1189,713,476,960,379,399,99,840,denver-01.svg,mother-01.svg
"Detroit, MI",married couple 2 children,median,695437,1,20504,-3346,1406,703,422,281,843,737,782,99,1029,detroit-01.svg,family-01.svg
